timestamp,source_ip,query_name,query_type,response_code,expected_label
1690000000,192.168.1.100,google.com,1,0,0
1690000001,192.168.1.100,github.com,1,0,0
1690000002,192.168.1.100,microsoft.com,1,0,0
1690000003,192.168.1.101,apple.com,1,0,0
1690000004,192.168.1.101,cloudflare.com,1,0,0
1690000005,192.168.1.105,example.com,1,0,0
1690000006,192.168.1.105,test.com,1,0,0
1690000007,192.168.1.105,x1y2z3.evil-tunnel.net,1,0,1
1690000008,192.168.1.105,a4b5c6d7e8f9.evil-tunnel.net,1,0,1
1690000009,192.168.1.105,g0h1i2j3k4l5m6n7.evil-tunnel.net,1,0,1
1690000010,192.168.1.105,o8p9q0r1s2t3u4v5w6x7.evil-tunnel.net,1,0,1
1690000011,192.168.1.105,y8z9a0b1c2d3e4f5g6h7i8.evil-tunnel.net,1,0,1
1690000012,192.168.1.105,j9k0l1m2n3o4p5q6r7s8t9u0.evil-tunnel.net,1,0,1
1690000013,192.168.1.100,yahoo.com,1,0,0
1690000014,192.168.1.105,v1w2x3y4z5a6b7c8d9e0f1g2h3.evil-tunnel.net,1,0,1
1690000015,192.168.1.105,i4j5k6l7m8n9o0p1q2r3s4t5u6v7.evil-tunnel.net,1,0,1
